episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
268,Gogi Goes Missing,Tapu Sena comes up with a plan to hide Gogi and spreads fake news that he's missing. How will this plan work? Will Tapu Sena get into trouble?,21 mins,08-Jan-20,Gogi,,,Sony SAB,2013-10-21T06:29:16Z,17895524,142532,0
269,Mr. And Mrs. Sodhi Are Worried,"Now that Tapu Sena has established that Gogi is missing, the parents are freaking out. They look for Gogi in and around the society but, fail to find him. Where will they find Gogi?",21 mins,08-Jan-20,"Sodhi, Tapu Sena",,Gokuldham Society,Sony PAL,2020-07-08T14:30:06Z,2553497,30881,649
270,Gokuldham Society Visit The Police Station,"The members of Gokuldham Society decide to report a complaint to the police. Meanwhile, the Tapu Sena is waiting for Gogi's missing case to telecast on TV.",21 mins,08-Jan-20,"Tapu Sena, Gogi",,Gokuldham Society,Sony SAB,2020-08-22T14:30:06Z,9550078,99521,1952
271,Tappu Sena In Trouble,"Seeing Gogi missing from the flat where Tappu Sena had hidden him in, they are petrified. Muddled, they go to Champaklal for help. Will Gogi be found?",21 mins,08-Jan-20,Tapu Sena,,,Sony SAB,2013-10-21T06:48:17Z,12064199,103271,0
272,The Police Create A Fuss,"When the police learn that Gogi has been found within the society, they are furious. They later explain that it was their duty to inform the police about Gogi being found. Gogi is extremely happy as he gets selected to act in an advertisement.",21 mins,08-Jan-20,Gogi,,Gokuldham Society,Sony SAB,2020-08-23T14:30:02Z,10767318,104022,1948
273,Taarak Is Sick Of Diet Food,"Anjali again presents a plate of freshly cut salad in front of Taarak. She refuses when he asks her to add something to it for it to not taste bland. She later asks Taarak to join a gym, but he denies. Will Anjali make Taarak join the gym?",20 mins,08-Jan-20,Mehta,,,Sony SAB,2013-10-21T06:21:48Z,31360528,157093,2
274,Stubborn Champaklal,"While Jethalal and Bhide argue with each other, Champaklal carries the LPG cylinder himself and leaves for his house. Seeing this, Jethalal runs behind him and takes the cylinder from him.",19 mins,08-Jan-20,Champaklal,,,Sony SAB,2013-10-21T06:27:55Z,25558483,170315,0
275,Babita Decides To Join A Club,"Jethalal finds that a rat has nibbled onto his shoes. Left without any option, he has to go out wearing Daya's footwear. Later, Babita gets an offer to become a swimming instructor at a club. Will she take the offer?",20 mins,08-Jan-20,Babita,,,Sony SAB,2013-11-18T06:24:45Z,5511714,52068,0
276,Babita Influences The Ladies To Take Swimming Classes,Babita decides to be a swimming coach at the club. She calls the ladies to join the club and learn swimming from her. Will the ladies join the swimming class?,19 mins,08-Jan-20,Babita,,,Sony SAB,2013-11-18T06:24:33Z,15272835,147450,0
277,Jethalal Also Wants To Learn Swimming,"After learning that the ladies are planning to take swimming classes, Jethalal is eager to learn swimming from Babita. He seeks help from Taarak. Will Taarak help his friend out?",20 mins,08-Jan-20,Jethalal,,,Sony SAB,2013-11-18T06:25:11Z,8911138,80786,0
278,Jethalal Asks Babita To Teach Him Swimming,"Jethalal, eager to learn swimming, visits Babita's house and asks her if he can learn swimming. But is there a twist? Will Jethalal be disappointed?",20 mins,08-Jan-20,"Jethalal, Babita",,,Sony SAB,2020-08-24T14:30:01Z,4483823,49115,1019
279,Ladies Have Fun At The Swimming Club,"All the women from Gokuldham society gather at the Silver Club to learn swimming. Meanwhile, Jetha decides to learn swimming from Babita at any cost.",27 mins,08-Jan-20,"Jethalal, Babita",,Gokuldham Society,Sony SAB,2013-11-18T06:24:17Z,18610580,180387,0
280,Men Want To Swim Too,"The men also want to learn swimming and want to learn it along with the women. But, they come up with an idea to go swimming along with their family. They take suggestions from Taarak Mehta. Will the men be content with the decision?",18 mins,08-Jan-20,Mehta,,,Sony SAB,2013-11-18T06:25:12Z,51179748,240613,1
281,Jethalal As A Sardar,"Jethalal somehow finds a friend at the club and sneaks in as a waiter. He not only sneaks in, but he sneaks in as a Sardar. But, he is shocked and frightened by the female guard at the pool. Why is he scared of the female guard?",19 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-08-25T14:30:01Z,16977062,165411,2671
282,Jethalal Saves The Day,"The entire Gokuldham society meets at the club which startles Jethalal. While Jetha decides to change and join the gang, he notices a man clicking pictures of women in the pool. What will Jethalal do next?",19 mins,08-Jan-20,Jethalal,,Gokuldham Society,Sony SAB,2013-11-18T06:25:12Z,10268456,63187,1
283,Champak Intervenes Jethalal's Romantic Mood,"Jethalal is in a romantic mood. He is expressing his love for his wife Daya, asking her for a head massage. But, Champaklal, is interfering their lovely mood. Will Jethalal ignore him or burst out at him?",19 mins,08-Jan-20,Jethalal,,,Sony SAB,2013-11-18T06:24:45Z,17854974,99392,0
284,Jethalal Gets Robbed,"When Sundar asks for money, Jethalal leaves his house to give him money. On the way, he meets a stranger who asks him for the police station. When Jethalal starts to answer, he points a knife at him and threatens to kill him.",19 mins,08-Jan-20,Jethalal,,,Sony SAB,2020-08-26T14:30:02Z,2448359,29389,544
285,Tapu's Last Examination,It is Tapu's last examination and he is well prepared. His family wishes him good luck before sending him to the school. Will their blessings be upon him? Will Tapu successfully complete the exam?,20 mins,08-Jan-20,Tapu,,,Sony SAB,2013-11-18T06:24:33Z,12294907,95473,0
286,Goli Wants A Vacation,"Now that the exams are over, Goli wants a vacation. But, Hansraj being a doctor, says that he cannot close his clinic for a long time. How will Goli react?",19 mins,08-Jan-20,Goli,,,Sony PAL,2018-12-27T17:53:20Z,2012496,19564,228
287,Operation Christmas Celebration,The elders of Gokuldham gather around to surprise Tapu Sena for Christmas. The men go for Christmas shopping at a mall. Will the kids be surprised?,19 mins,08-Jan-20,Tapu Sena,,Gokuldham Society,Sony PAL,2018-12-28T18:43:24Z,1983280,22759,440
288,Guess The Santa,"As a surprise to the kids, the elders of Gokuldham society plan on a big Christmas celebration. They all dress up as Santa Claus and ask the kids to guess who their parents are. Tapu then comes up with a great idea.",21 mins,08-Jan-20,Tapu Sena,,Gokuldham Society,Sony SAB,2013-11-18T06:25:31Z,8186840,69347,0
289,Nattu Kaka Dances At Gada Electronics,"Jethalal comes to his shop in the morning to witness Nattu Kaka dance. When asked why he says he was checking the stereo as they'd received a complaint. Later, Jethalal tries to get the New Year's Party Passes.",20 mins,08-Jan-20,"Jethalal, Nattu",,,Sony SAB,2013-11-18T06:24:32Z,18128377,137936,0
290,All Men's Party,Jethalal gets passes for New Years and all the men decide to go to the party without their family. Will the wives agree?,20 mins,08-Jan-20,Jethalal,,,Sony SAB,2013-11-18T06:24:18Z,24869678,175955,0
291,Sundar Tears Jetha's Party Passes,"Jethalal is excited about the party for New Year's Eve and talks to Sodhi about it. Just then, Sundar comes to the shop and asks him if he wants passes for a different party. He then breaks Jetha's heart by tearing the passes. What will Jethalal do now?",41 mins,08-Jan-20,"Jethalal, Sundar",,,Famous Show,2020-12-05T05:19:27Z,221675,2230,41
292,Sundar's Party,"Daya assumes that Jethalal and Sundar will get into a fight because of Sundar's mischief. Later, everyone celebrates New Year's Eve at the society.",20 mins,08-Jan-20,Sundar,,Gokuldham Society,Sony SAB,2013-11-18T06:24:44Z,12294334,87389,0
293,Dance Till  You Drop,"The celebrations continue as Taarak continues to pick chits from the bowl. The dance continues all night and Taarak notices a small glitch. Meanwhile, Jethalal is hoping he could dance with Babita. Will he get a chance?",FULL_HD120 mins,08-Jan-20,"Jethalal, Mehta, Babita",,,Sony SAB,2013-11-18T06:25:11Z,14159428,142178,1
294,Jethalal's Dream Come True,Jethalal finally gets a chance to dance and he is delighted to dance with Babita. Will Iyer be happy about it or jealous of it? Watch this episode and find out.,FULL_HD121 mins,08-Jan-20,Jethalal,,,Sony SAB,2013-11-18T06:24:58Z,12745228,98858,1
295,The Ladies Fool Their Husbands,"At the after-party, the ladies decide to serve iced tea instead of alcohol to prove it to them that they don't need alcohol to have fun. The next morning, Jethalal feels very lazy, but Daya wants him to be more active.",19 mins,08-Jan-20,"Jethalal, Daya",,,Sony SAB,2013-11-18T06:24:18Z,85286444,471097,1
296,Popatlal Is Angry,"When everyone in the society wakes up happy, Popatlal gets out of the house half-naked and starts screaming for justice. How will everyone react? What does he want justice for?",FULL_HD117 mins,08-Jan-20,Popatlal,,Gokuldham Society,Sony SAB,2013-11-18T06:24:45Z,37115790,290574,0
297,Popatlal VS Bhide,"When Popatlal creates a problem early in the morning, everyone in the society gets disturbed. Popatlal accuses Bhide for his problem. Later, Anjali shares with her friends about the funny incident that happened in her house. What happened with Popatlal?",20 mins,08-Jan-20,"Bhide, Popatlal",,Gokuldham Society,Sony SAB,2013-11-18T06:24:18Z,15299169,125975,1
298,Taarak Invites Everyone To The Garden Early In the Morning,Taarak has something planned up his sleeves and he invites everyone in the society at the garden. Jethalal is very unhappy about losing sleep and attending a meeting early in the morning. Will he attend the meet?,19 mins,08-Jan-20,Mehta,,Gokuldham Society,Sony SAB,2013-11-18T06:24:58Z,39245726,271818,0
299,Gokuldham Laughing Club,"Taarak Mehta arranges for a laughing session early in the morning. Jetha gets disappointed because he would have to give up his sleep. Later, Jetha and Champaklal share their memories with Tapu.",19 mins,08-Jan-20,"Jethalal, Taarak, Tapu, Champaklal",,,Sony SAB,2013-11-18T06:25:12Z,16284065,129896,0
300,Gadas Go To Ahmedabad,"Sundarlal sends a letter to the Gada's inviting them to Ahmedabad. While the family is very excited, Jethalal is not even close to being interested. Jethalal comes up with a plan to escape the trip. What is the plan?",FULL_HD118 mins,08-Jan-20,"Gada Family, Sundar",,,Sony SAB,2013-11-18T06:24:44Z,15344286,112227,0
301,Makar Sakranti Preparations,"Daya's mother has gone to Triveni Sangam in Allahabad. Jethalal gets angry when he hears this. Meanwhile, in Mumbai, everyone goes to buy kites in Sodi's jeep. How will their kite shopping go?  Watch this episode to find out.",19 mins,08-Jan-20,"Jethalal, Daya",,,Sony SAB,2013-11-18T06:25:31Z,35576299,222539,0
302,Makar Sankranti Celebrations,"The Gada family is spending Makar Sankranti in Ahmedabad, while all the Gokuldham residents celebrate it in Mumbai and plan on having lunch together after the celebration. Watch this episode to see their celebration.",20 mins,08-Jan-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2013-11-18T06:24:58Z,21605128,166321,0
303,The Disappointing Roadtrip,"Champaklal is angry with Jethalal for making them travel by car. Jethalal shares his Ahemdabad trip experience with all the men at the soda shop. They all decide to meet the next day, early morning for their laughter club activity. Watch this episode of Taarak Mehta Ka Ooltah Chashmah only on Sony LIV.",19 mins,08-Jan-20,"Jethalal, Mehta, Champaklal",,,Sony SAB,2020-08-29T16:28:47Z,21219020,165468,3050
304,Dr. Hathi's Laughter Attack,Doctor Hathi can't stop laughing. Everyone starts giving solutions to stop Doctor Hathi's non-stop laughter. How will he stop laughing now? Watch this episode to find out.,39 mins,08-Jan-20,Dr.Hathi,,,Sony SAB,2013-11-18T06:24:17Z,15856681,118099,0
305,Mehta's Mater Plan,Mehta comes up with a plan to stop Dr. Hathi's laughter. All the society members decide that Dr. Hathi and Komal have to leave the Gokuldham society. Is this going to stop Dr. Hathi from laughing? Watch this episode of Taarak Metha Ka Ooltha Chashma to find out.,20 mins,08-Jan-20,"Mehta, Dr.Hathi",,Gokuldham Society,Sony SAB,2013-11-18T06:24:17Z,18600009,153259,0
306,Republic Day Preparations,"When Tappu asks his father to take him to watch a movie, Champaklal doesn't allow them to do so. Bhide wants everyone to give a speech on Republic Day. Will everyone agree to do it? Watch this episode to find out.",20 mins,08-Jan-20,"Champaklal, Bhide",,,Sony SAB,2013-11-18T06:24:45Z,15447919,123617,0
307,The Best Republic Day Speech,"On the occasion of Republic Day, everyone in the Gokuldham society is supposed to prepare a speech on the nation. Who is going to win? Will Jetha defeat Iyer? Find out in this episode of Taarak Mehta Ka Ooltah Chashmah.",19 mins,08-Jan-20,"Jethalal, Mehta, Iyer",,Gokuldham Society,Sony SAB,2020-08-30T14:32:11Z,4524834,64886,1665
308,The Speech,Gokuldham Society celebrates Republic Day. All the men have prepared a speech. They all fight to go first.  All the ladies have a surprise planned too. What have the ladies planned? Watch this episode to find out.,18 mins,08-Jan-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2013-11-18T06:24:33Z,8318557,56666,0
309,Patriotic Residents Of Gokuldham,Everyone gets happy when Mehta tells them that all the ladies are going to give one more performance. Champaklal also performs. Daya gives a special shirt to Jethalal. What kind of a shirt does Daya gift Jethalal? Watch this episode to find out.,20 mins,08-Jan-20,"Jethalal, Daya, Taarak, Champaklal",,,Sony SAB,2013-11-18T06:24:32Z,10493502,92818,0
310,Bhide Thinks Of Buying A Computer,Madhavi taunts Bhide for not having a computer and tells him that a computer is a must for Sonu's better education. Bhide gives it a thought and goes to Taarak Mehta to seek some advice. Mehta agrees with Madhavi and advises Bhide to consult Jethalal for the same. What will Bhide do now? Watch this episode to find out.,FULL_HD118 mins,08-Jan-20,Bhide,,,Sony SAB,2020-08-31T14:30:07Z,15874018,138053,2226
311,Bhide On The Hunt To Buy A Computer,"Bhide visits Jethalal's shop as he wants to buy a new computer. Jethalal asks Lokesh Bhai, a computer deal, to show Bhide the best computer. Bhide says he'll place the order later and leaves for home. On the way back, Bhide sees a shop selling the same computer for a much lesser price. What will Bhide do now? Watch this episode of Taarak Mehta Ka Ooltah Chashmah to find out.",20 mins,08-Jan-20,Bhide,,,Sony SAB,2020-09-01T14:30:03Z,27627551,243371,3238
